Deck,Name,Box,Quantity,Suit,Cost,Cost Suit,Effect
Standard Deck,Armorers,Stone,2,Bird,1,Fox,"In battle, may discard this to ignore all rolled hits taken."
Standard Deck,Woodland Runners,Paper,1,Bird,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Standard Deck,Arms Trader,Paper,1,Bird,2,Fox,"Gain 1 Sword and 2 Victory Points, then discard."
Standard Deck,Crossbow,Paper,1,Bird,1,Fox,"Gain 1 Crossbow and 1 Victory Point, then discard."
Standard Deck,Sappers,Stone,2,Bird,1,Mouse,"In battle as defender, may discard this to deal an extra hit."
Standard Deck,Brutal Tactics,Stone,2,Bird,2,Fox,"In battle as attacker, may deal an extra hit, but defender scores one Victory Point."
Standard Deck,Royal Claim,Stone,1,Bird,4,Any,"In Birdsong, may discard this to score one point per clearing you rule."
Standard Deck,Ambush,Paper,1,Fox,0,None,"You may only ambush in a fox clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Standard Deck,Gently Used Knapsack,Paper,1,Fox,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Standard Deck,Root Tea,Paper,1,Fox,1,Mouse,"Gain 1 Tea and 2 Victory Points, then discard."
Standard Deck,Travel Gear,Paper,1,Fox,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Standard Deck,Protection Racket,Paper,1,Fox,2,Rabbit,"Gain 1 Coins and 3 Victory Points, then discard."
Standard Deck,Foxfolk Steel,Paper,1,Fox,2,Fox,"Gain 1 Sword and 2 Victory Points, then discard."
Standard Deck,Anvil,Paper,1,Fox,1,Fox,"Gain 1 Hammer and 2 Victory Points, then discard."
Standard Deck,Stand and Deliver!,Stone,2,Fox,3,Mouse,"In Birdsong, may take a random card from another player. That player scores one point."
Standard Deck,Tax Collector,Stone,3,Fox,3,"Fox, Rabbit, Mouse","Once in Daylight, may remove one of your warriors to draw a card."
Standard Deck,Favor of the Foxes,Paper,1,Fox,3,Fox,"Remove all enemy pieces in fox clearings, then discard."
Standard Deck,Ambush,Paper,1,Rabbit,0,None,"You may only ambush in a rabbit clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Standard Deck,Smuggler's Trail,Paper,1,Rabbit,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Standard Deck,Root Tea,Paper,1,Rabbit,1,Mouse,"Gain 1 Tea and 2 Victory Points, then discard."
Standard Deck,A Visit to Friends,Paper,1,Rabbit,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Standard Deck,Bake Sale,Paper,1,Rabbit,2,Rabbit,"Gain 1 Coins and 3 Victory Points, then discard."
Standard Deck,Command Warren,Stone,2,Rabbit,2,Rabbit,"At start of Daylight, may initiate a battle."
Standard Deck,Better Burrow Bank,Stone,2,Rabbit,2,Rabbit,"At start of Birdsong, you and another player draw a card."
Standard Deck,Cobbler,Stone,2,Rabbit,2,Rabbit,"At start of Evening, may take a move."
Standard Deck,Favor of the Rabbits,Paper,1,Rabbit,3,Rabbit,"Remove all enemy pieces in rabbit clearings, then discard."
Standard Deck,Ambush,Paper,1,Mouse,0,None,"You may only ambush in a mouse clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Standard Deck,Mouse-in-a-Sack,Paper,1,Mouse,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Standard Deck,Root Tea,Paper,1,Mouse,1,Mouse,"Gain 1 Tea and 2 Victory Points, then discard."
Standard Deck,Travel Gear,Paper,1,Mouse,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Standard Deck,Investments,Paper,1,Mouse,2,Rabbit,"Gain 1 Coins and 3 Victory Points, then discard."
Standard Deck,Sword,Paper,1,Mouse,2,Fox,"Gain 1 Sword and 2 Victory Points, then discard."
Standard Deck,Crossbow,Paper,1,Mouse,1,Fox,"Gain 1 Crossbow and 1 Victory Point, then discard."
Standard Deck,Scouting Party,Stone,2,Mouse,2,Mouse,"As attacker in battle, you are not affected by ambush cards."
Standard Deck,Ambush,Paper,2,Bird,0,None,"You may ambush in any clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Standard Deck,Birdy Bindle,Paper,1,Bird,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Standard Deck,Dominance,Stone,1,Mouse,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule three mouse clearings at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Standard Deck,Dominance,Stone,1,Fox,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule three fox clearings at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Standard Deck,Dominance,Stone,1,Bird,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule two opposite corners at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Standard Deck,Dominance,Stone,1,Rabbit,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule three rabbit clearings at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Standard Deck,Codebreakers,Stone,2,Mouse,1,Mouse,"Once in Daylight, may look at another player's hand."
Standard Deck,Favor of the Mice,Paper,1,Mouse,3,Mouse,"Remove all enemy pieces in mouse clearings, then discard."
Exiles and Partisans,Saboteurs,Stone,3,Bird,1,Any,"At the start of Birdsong, may discard this card to discard an enemys crafted card."
Exiles and Partisans,Soup Kitchens,Stone,1,Bird,3,"Fox, Rabbit, Mouse","Your tokens now count towards rule, and each of your tokens counts twice."
Exiles and Partisans,Boat Builders,Stone,1,Bird,2,Any,You treat rivers as paths.
Exiles and Partisans,Corvid Planners,Stone,1,Bird,2,Any,"While moving, you ignore rule."
Exiles and Partisans,Eyrie Emigre,Stone,1,Bird,2,Fox,"At the end of Birdsong, take a move, then initiate a battle in the clearing you moved into. If you did not take both actions, discard this card."
Exiles and Partisans,Fox Partisans,Stone,1,Fox,1,Fox,"In battle in fox clearings, may deal one extra hit, then discard all your cards except foxes."
Exiles and Partisans,Propaganda Bureau,Stone,1,Fox,3,Any,"Once in Daylight, may spend a card to remove an enemy warrior from a matching clearing and place a warrior there."
Exiles and Partisans,False Orders,Stone,2,Fox,1,Fox,"In Birdsong, may discard this card to force an enemy to move half their faction warriors (round up) from a clearing you choose to a clearing you choose, ignoring rule."
Exiles and Partisans,Informants,Stone,2,Fox,2,Fox,"In Evening, if you would draw cards, you may instead take one ambush card from the discard pile."
Exiles and Partisans,Rabbit Partisans,Stone,1,Rabbit,1,Rabbit,"In battle in rabbit clearings, may deal one extra hit, then discard all your cards except rabbits."
Exiles and Partisans,Tunnels,Stone,2,Rabbit,1,Rabbit,You treat clearings with any of your crafting pieces as adjacent.
Exiles and Partisans,Charm Offensive,Stone,1,Rabbit,1,Rabbit,"At start of Evening, may draw a card and choose another player to score one point."
Exiles and Partisans,Coffin Makers,Stone,1,Rabbit,2,Rabbit,"Whenever any warriors would return to a supply, place them on this card instead. At the start of Birdsong, you score one point per five warriors here, then return all warriors here to their supplies."
